"#","ML Number","Status","Address","City","Zip","Legal Subdivision Name","Heated Area","Tax ID","Current Price","Beds","Full Baths","Half Baths","Year Built","Pool","Property Style","Ownership","Tax","CDOM","ADOM","Days to Contract","Sold Terms","Close Date","LP / SqFt","SP/SqFt","SP / LP","List Office","List Agent","List Agent ID","Selling Office ID","LSC List Side","List Office Primary Board ID"
"1","GC504926","SLD","1231 NE 9TH ST","GAINESVILLE","32601","FAIRFIELD ADD","951","10600-006-000","$15,000","3","1","0","1947","None","Single Family Residence","Fee Simple","$777.72","168","168","-2","Cash","11/03/2022","$184.02","$15.77","0.09","FLORIDA HOMES REALTY & MORTGAGE LLC","Janine Alexander","782501717","259504964","Gainesville-Alachua","Gainesville-Alachua"
"1","O6062949","SLD","13217 SW 143RD ST","ARCHER","32618","N/A","752","04771-001-000","$16,000","2","1","0","1956","None","Single Family Residence","Fee Simple","$984.00","48","48","75","Cash","12/16/2022","$38.56","$21.28","0.55","BEYCOME OF FLORIDA LLC","Steven Koleno","364512302","259500060","Orlando Regional","Orlando Regional"
"1","GC501675","SLD","819 NE 18 TER","GAINESVILLE","32641","PINE RIDGE","1,074","10733-056-000","$26,000","3","1","0","1940","None","Single Family Residence","Fee Simple","$1,094.00","4","4","13","Cash","02/11/2022","$32.59","$24.21","0.74","SUSKIN REALTY INC","Marc Suskin","259500193","261018281","Gainesville-Alachua","Gainesville-Alachua"
"1","GC500002","SLD","423 SE 13TH TER","GAINESVILLE","32601","DOIGS ADD WAITS SUB","462","11800-000-000","$40,000","2","1","0","1936","None","Single Family Residence","Fee Simple","$640.00","25","25","36","Cash","01/03/2022","$104.98","$86.58","0.82","FLORIDA HOMES REALTY & MORTGAGE LLC","Xavrae Burse","259504882","259504874","Gainesville-Alachua","Gainesville-Alachua"
"1","GC505421","SLD","1404 SE 3RD TER","GAINESVILLE","32601","GAINESVILLE NORWOOD HEIGHTS","732","1088761","$42,000","3","1","0","1932","None","Single Family Residence","Fee Simple","$868.00","19","19","26","Private","07/15/2022","$68.31","$57.38","0.84","SUSKIN REALTY INC","Samuel Suskin","259504892","259500054","Gainesville-Alachua","Gainesville-Alachua"
"1","O6062957","SLD","13309 SW 143RD ST","ARCHER","32618","N/A","1,304","04771-002-000","$45,000","3","1","0","1965","None","Single Family Residence","Fee Simple","$1,582.00","70","70","75","Cash","12/17/2022","$42.18","$34.51","0.82","BEYCOME OF FLORIDA LLC","Steven Koleno","364512302","259500060","Orlando Regional","Orlando Regional"
"1","OM630416","SLD","16377 SW COUNTY ROAD 346","ARCHER","32618","N/A","696","04936-001-000","$45,000","2","1","0","1960","None","Single Family Residence","Fee Simple","$142.27","35","35","42","Cash","01/14/2022","$71.70","$64.66","0.90","WATSON REALTY CORP","Joann Torres","259506316","259500060","Ocala - Marion","Gainesville-Alachua"
"1","GC503414","SLD","7005 SE 221ST ST","HAWTHORNE","32640","C J WAITS ADD","2,207","19473-000-000","$48,500","2","1","0","1900","None","Single Family Residence","Fee Simple","$997.00","5","5","25","Cash","05/05/2022","$24.92","$21.98","0.88","WATSON REALTY CORP","Heather Surrency-Bristow","271511592","271516508","Gainesville-Alachua","Gainesville-Alachua"
"1","GC447382","SLD","532 NW 29th AVE","Gainesville","32609","Gainesville Heights","895","08449-001-000","$50,000","2","1","0","1950","None","Single Family Residence","","$210.00","55","55","55","Cash","01/19/2022","$78.10","$55.87","0.72","PORTAL REALTY","Mary Brunel","259500842","259506814","Gainesville-Alachua","Gainesville-Alachua"
"1","GC509774","SLD","9502 N COUNTY ROAD 225","GAINESVILLE","32609","N/A","792","07805-006-000","$50,505","2","1","0","1964","None","Single Family Residence","Fee Simple","$321.77","2","2","2","Cash","12/23/2022","$50.51","$63.77","1.26","PEPINE REALTY","Mark Gajda","259505420","","Gainesville-Alachua","Gainesville-Alachua"
"1","OM648184","SLD","21317 SE 66TH AVE","HAWTHORNE","32640","OBRIANS ADD TO HAWTHORNE","558","19732-000-000","$53,000","2","1","0","1940","None","Single Family Residence","Fee Simple","$892.00","19","19","21","Cash","12/06/2022","$107.53","$94.98","0.88","COMPASS FLORIDA, LLC","Lucinda Striker","271516032","53164","Ocala - Marion","Orlando Regional"
"1","GC506427","SLD","18818 NW 244TH ST","HIGH SPRINGS","32643","HIGH SPRINGS,PATTONS ADDN","1,570","00996-000-000","$54,000","3","1","0","1918","None","Single Family Residence","Fee Simple","$649.84","4","4","6","Cash","07/25/2022","$38.22","$34.39","0.90","NORTHSTAR FIRST PROPERTIES LLC","Julie Davis","259506573","259505361","Gainesville-Alachua","Orlando Regional"
"1","O6052406","SLD","4202 NE 119TH TER","GAINESVILLE","32641","N/A","1,316","17698-003-000","$55,000","3","1","0","1961","None","Single Family Residence","Fee Simple","$1,197.93","102","102","115","Private","12/13/2022","$51.60","$41.79","0.81","TRUST REALTY USA, LLC","Uri Segev","279560416","260000779","Orlando Regional","Orlando Regional"
"1","GC434910","SLD","14008 NW 143rd PL","Alachua","32615","Downing Addn","900","03732-001-000","$55,000","3","1","0","1958","None","Single Family Residence","","$885.61","639","639","639","Cash","03/31/2022","$61.11","$61.11","1.00","FLORIDA HOMES REALTY & MORTGAGE LLC","Francine Milam","259504149","272504201","Gainesville-Alachua","Gainesville-Alachua"
"1","GC505940","SLD","905 SE 9TH PL","GAINESVILLE","32601","REPUBLIC HEIGHTS REPL","800","15728-013-000","$55,900","2","1","0","1955","None","Single Family Residence","Fee Simple","$1,341.00","6","6","6","Cash","08/05/2022","$74.88","$69.88","0.93","COLDWELL BANKER M.M. PARRISH, REALTORS","Mike LeRoy","259503037","259500037","Gainesville-Alachua","Gainesville-Alachua"
"1","GC509713","SLD","13919 NE 140TH ST","WALDO","32694","WILLY SUB WALDO","1,194","17272-007-000","$60,000","2","1","0","1945","None","Single Family Residence","Fee Simple","$430.40","0","0","4","Seller Financing","12/01/2022","$50.25","$50.25","1.00","COLDWELL BANKER M.M. PARRISH, REALTORS","Martha Cornelius","279506874","259500037","Gainesville-Alachua","Gainesville-Alachua"
"1","GC501674","SLD","1623 NE 16TH WAY","GAINESVILLE","32609","SEOLA WILLIAMSONS ADD","840","1080341","$66,000","2","1","0","1953","None","Single Family Residence","Fee Simple","$1,195.00","4","4","13","Cash","02/11/2022","$89.29","$78.57","0.88","SUSKIN REALTY INC","Marc Suskin","259500193","261018281","Gainesville-Alachua","Gainesville-Alachua"
"1","GC438575","SLD","22533 SE 72ND AVE","Hawthorne","32640","W E Jenkins","930","19333-000-000","$69,500","2","1","0","1940","None","Single Family Residence","","$581.00","438","438","438","Cash","01/19/2022","$74.73","$74.73","1.00","KELLER WILLIAMS GAINESVILLE REALTY PARTNERS","Lisa Fetrow","259505107","271515385","Gainesville-Alachua","Gainesville-Alachua"
"1","GC500996","SLD","2000 SE 43RD TER","GAINESVILLE","32641","KREFTWOOD ESTATES","1,164","16187-035-000","$69,700","3","1","0","1969","None","Single Family Residence","Fee Simple","$1,959.57","57","57","100","Cash","04/14/2022","$55.76","$59.88","1.07","COLDWELL BANKER M.M. PARRISH, REALTORS","Mike LeRoy","259503037","259504921","Gainesville-Alachua","Gainesville-Alachua"
"1","O6045574","SLD","7428 SE 222ND ST","HAWTHORNE","32640","WAITS CROSSING ADD TO HAWTHORNE","1,036","19488-000-000","$69,900","2","1","0","1941","None","Single Family Residence","Fee Simple","$513.00","38","27","27","Cash","08/31/2022","$67.47","$67.47","1.00","BEYCOME OF FLORIDA LLC","Steven Koleno","364512302","55055","Orlando Regional","Orlando Regional"
"1","GC507561","SLD","18558 NW 248TH ST","HIGH SPRINGS","32643","G M WHETSTONE ESTATE ADD TO H S","1,072","00958-001-000","$70,000","2","2","0","1946","None","Single Family Residence","Fee Simple","$1,480.13","16","16","16","Cash","09/09/2022","$74.63","$65.3","0.88","RABELL REALTY GROUP LLC","Mike Rust","259506066","259505610","Gainesville-Alachua","Gainesville-Alachua"
"1","U8164157","SLD","425 SE 14TH TER","GAINESVILLE","32601","CANTY HEIGHTS","792","12744-010-000","$70,000","2","1","0","1957","None","Single Family Residence","Fee Simple","$1,005.40","0","0","2","Cash","08/01/2022","$100.88","$88.38","0.88","CLARKE REALTY LLC","Mustafa Lakadawala","259505289","259500046","Pinellas Suncoast","Pinellas Suncoast"
"1","GC505324","SLD","2219 SE 15TH ST","GAINESVILLE","32641","BALTIMORE CHARLES","572","16053-000-000","$70,000","2","1","0","1957","None","Single Family Residence","Fee Simple","$1,491.00","4","4","4","Cash","06/15/2022","$131.12","$122.38","0.93","FLORIDA HOMES REALTY & MORTGAGE LLC","Sheila LeBlanc","259505150","259504921","Gainesville-Alachua","Gainesville-Alachua"
"1","GC502613","SLD","105 NE 20TH ST","GAINESVILLE","32641","THOMAS JACK SUB","883","11219-000-000","$70,000","2","1","0","1950","None","Single Family Residence","Fee Simple","$355.00","89","89","154","Cash","08/03/2022","$100.79","$79.28","0.79","PEPINE REALTY","Holly Bender","259506318","259504874","Gainesville-Alachua","Gainesville-Alachua"
"1","GC507757","SLD","14427 NE 139TH ST","WALDO","32694","METES & BOUNDS","1,180","17215-010-000","$75,000","2","1","0","1962","None","Single Family Residence","Fee Simple","$1,692.91","86","86","87","Cash","12/12/2022","$67.71","$63.56","0.94","HORIZON REALTY OF ALACHUA INC","Patti Moser","259500210","259500025","Gainesville-Alachua","Gainesville-Alachua"
"1","A4522654","SLD","25245 NW 3RD AVE","NEWBERRY","32669","ORIGINAL NEWBERRY","725","02100-000-000","$75,000","2","1","0","1952","None","Single Family Residence","Fee Simple","$424.40","81","81","81","Cash","05/19/2022","$107.57","$103.45","0.96","FLATFEE.COM","Cliff Glansen","278017259","259504964","Sarasota - Manatee","Sarasota - Manatee"
"1","GC501749","SLD","7207 SE 2ND AVE","GAINESVILLE","32641","LAKESHORE HOMESITES","632","17940-117-000","$75,000","2","1","0","1960","None","Single Family Residence","Fee Simple","$1,280.00","5","5","55","Cash","02/22/2022","$102.85","$118.67","1.15","BHGRE THOMAS GROUP","Lisa Baltozer, PL","259500559","259505816","Gainesville-Alachua","Gainesville-Alachua"
"1","GC500611","SLD","1032 NW 40TH AVE","GAINESVILLE","32609","OAK HILL","423","08070-000-000","$75,000","1","1","0","1949","None","Single Family Residence","Fee Simple","$822.54","68","68","83","Cash","03/11/2022","$200.71","$177.3","0.88","COLDWELL BANKER M.M. PARRISH, REALTORS","Rana Schafer","259503515","259500004","Gainesville-Alachua","Gainesville-Alachua"
"1","GC448251","SLD","1633 NE 10th AVE","Gainesville","32641","Washington Heights","1,048","10675-001-000","$75,000","3","1","0","1948","None","Single Family Residence","","$1,226.12","73","73","84","Conventional","02/28/2022","$71.56","$71.56","1.00","FLORIDA HOMES REALTY & MORTGAGE LLC","Chantelle Smith","259505451","55055","Gainesville-Alachua","Gainesville-Alachua"
