"#","ML Number","Status","Address","City","Zip","Legal Subdivision Name","Heated Area","Tax ID","Current Price","Beds","Full Baths","Half Baths","Year Built","Pool","Property Style","Ownership","Tax","CDOM","ADOM","Days to Contract","Sold Terms","Close Date","LP / SqFt","SP/SqFt","SP / LP","List Office","List Agent","List Agent ID","Selling Office ID","LSC List Side","List Office Primary Board ID"
"1","GC447694","SLD","17736 NW 235th WAY","High Springs","32643","Southside Terrace","1,347","01408-014-000","$238,500","3","2","0","2005","None","Single Family Residence","","$2,176.00","76","76","24","FHA","11/18/2021","$177.06","$177.06","1.00","KELLER WILLIAMS GAINESVILLE REALTY PARTNERS","Shannon Bass","259505422","259500004","Gainesville-Alachua","Gainesville-Alachua"
"1","GC445129","SLD","402 NW 3RD AVE","Gainesville","32601","Pleasant Street","1,782","14523-000-000","$238,500","3","2","0","1940","None","Single Family Residence","","$2,694.00","171","171","179","Cash","12/08/2021","$148.71","$133.84","0.90","SHOWCASE PROPERTIES OF CENTRAL","Joshua McGill","271515913","271500260","Gainesville-Alachua","Ocala - Marion"
"1","OM616227","SLD","15873 NW 123RD AVE","ALACHUA","32615","SAVANNAH STATION PHASE 2A","1,368","03980-021-135","$238,500","3","2","0","2021","None","Single Family Residence","Fee Simple","$600.00","23","23","23","Conventional","06/22/2021","$174.34","$174.34","1.00","ADAMS HOMES REALTY INC","Holly Combs","271515609","55055","Ocala - Marion","Ocala - Marion"
"1","GC445409","SLD","10714 Creek DR","Alachua","32615","Turkey Creek","1,676","05900-007-007","$238,501","3","2","0","1980","Community","Single Family Residence","","$2,390.00","49","49","3","Conventional","07/30/2021","$140.21","$142.3","1.01","BHHS Florida Realty","Teiss Parr Trio Chelsea","259503915","25950341","Gainesville-Alachua","Ocala - Marion"
"1","GC448136","SLD","6021 NW 37th TER","Gainesville","32653","Mile Run","1,344","06017-001-028","$238,700","3","2","0","1988","Community","Single Family Residence","","$1,906.32","49","49","4","Cash","11/12/2021","$178.50","$177.6","0.99","FLORIDA HOMES REALTY & MORTGAGE LLC","Melissa Pellerito","259503211","259500046","Gainesville-Alachua","Gainesville-Alachua"
"1","GC448282","SLD","2636 NW 52ND PL","Gainesville","32605","Bayberry","1,302","06076-500-003","$239,000","3","2","0","1988","None","Single Family Residence","","$1,540.00","10","10","10","Conventional","12/01/2021","$183.56","$183.56","1.00","COLDWELL BANKER MM PARRISH","Mark Stern","261211074","55055","Gainesville-Alachua","Gainesville-Alachua"
"1","GC447550","SLD","5600 NW 28th TER","Gainesville","32653","Northwood Pines","1,572","06014-020-072","$239,000","3","2","0","1974","None","Single Family Residence","","$1,894.00","43","43","5","Conventional","10/12/2021","$152.04","$152.04","1.00","PEPINE REALTY","Jennifer Figueroa","259506024","259504874","Gainesville-Alachua","Gainesville-Alachua"
"1","GC443255","SLD","8423 SW 46TH","Gainesville","32608","HP/Founders Hill 5","1,409","06860-050-019","$239,000","3","2","0","1983","None","Single Family Residence","","$2,674.00","0","0","0","FHA","04/06/2021","$169.62","$169.62","1.00","Keller Williams Gainesville Realty Partners","Lisa Fetrow","259505107","259505695","Gainesville-Alachua","Ocala - Marion"
"1","GC442131","SLD","6207 NW 29TH ST","Gainesville","32653","Northwood Pines","1,370","06014-024-065","$239,000","3","2","0","1977","None","Single Family Residence","","$3,144.00","43","43","4","Conventional","04/16/2021","$172.99","$174.45","1.01","BHGRE Thomas Group","Kristen Thompson","259504942","261010944","Gainesville-Alachua","Ocala - Marion"
"1","GC441329","SLD","3534 NW 67 AVE","Gainesville","32653","Sutters Landing","1,447","06015-002-036","$239,000","3","2","0","1993","None","Single Family Residence","","$2,777.00","197","49","22","Conventional","04/09/2021","$165.17","$165.17","1.00","Keller Williams Gainesville Realty Partners","Ben Zuber - The Zuber Group","264000563","259504926","Gainesville-Alachua","Ocala - Marion"
"1","GC440868","SLD","12809 NW 73 TER","Alachua","32615","Hague Estates","1,619","05930-010-012","$239,000","3","2","0","1984","None","Single Family Residence","","$2,250.00","34","34","93","Cash","05/12/2021","$147.62","$147.62","1.00","BHHS Florida Realty","Andrea Martin - Broker Associate","277000656","259505695","Gainesville-Alachua","Ocala - Marion"
"1","GC440413","SLD","2111 NW 58th TER","Gainesville","32606","Pine Woods","1,668","06353-151-019","$239,000","3","2","0","1970","None","Single Family Residence","","$1,980.00","51","51","11","Conventional","02/19/2021","$143.29","$143.29","1.00","Pepine Realty","Betsy Pepine","259503892","259504837","Ocala - Marion","Ocala - Marion"
"1","GC439637","SLD","424 NW 27th TER","Gainesville","32607","Hibiscus Park","1,491","06449-045-000","$239,000","4","2","0","1976","None","Single Family Residence","","$4,500.00","201","201","177","Conventional","06/06/2021","$167.67","$160.3","0.96","Beycome of Florida LLC","Steven Koleno","364512302","259500046","Orlando Regional","Orlando Regional"
