"#","ML Number","Status","Address","City","Zip","Legal Subdivision Name","Heated Area","Tax ID","Current Price","Beds","Full Baths","Half Baths","Year Built","Pool","Property Style","Ownership","Tax","CDOM","ADOM","Days to Contract","Sold Terms","Close Date","LP / SqFt","SP/SqFt","SP / LP","List Office","List Agent","List Agent ID","Selling Office ID","LSC List Side","List Office Primary Board ID"
"1","GC441358","PND","180 SW 258TH ST","Newberry","32669","Carter Addn","990","02285-002-000","$86,800","2","1","0","1929","None","Single Family Residence","","$1,360.88","367","139","223","","","$87.68","","","HOMESTYLE REALTY","Bob Lusnia","259500247","","Gainesville-Alachua","Gainesville-Alachua"
"1","GC442152","PND","1322 NE 1ST AVE","Gainesville","32641","Not In Subdivision","1,350","11508-002-000","$162,352","3","2","0","2019","None","Single Family Residence","","$1,718.00","22","22","35","","","$120.26","","","MOMENTUM REALTY","Kyle Hunziker","259506376","","Gainesville-Alachua","West Volusia"
"1","GC445775","PND","527 NW 101ST TER","Gainesville","32607","Hamilton Heights","1,823","06657-015-026","$280,000","3","2","1","1990","None","Single Family Residence","","$2,231.36","45","45","45","","","$153.59","","","LaRosa Realty, LLC","William Miranda","272501488","","Osceola","Orlando Regional"
"1","GC434499","PND","6759 SW 77th WAY","Gainesville","32608","Grand Preserve At Kanapaha","3,400","07060-100-609","$561,480","6","4","1","2021","Community","Single Family Residence","","$1,737.38","425","425","425","","","$165.14","","","SKOBEL REALTY LLC","Loree Skobel","259504735","","Gainesville-Alachua","Gainesville-Alachua"
"1","GC436027","PND","6236 SW 50th ST","Gainesville","32608","Finley Woods","2,475","06985-010-001","$569,000","4","2","1","2018","None","Single Family Residence","","$7,514.45","419","419","419","","","$229.90","","","TOMMY WILLIAMS REALTY, LLC","Todd Louis","259502096","","Gainesville-Alachua","Gainesville-Alachua"
"1","GC441631","SLD","21813 S COUNTY ROAD 325","Hawthorne","32640","Bailey Survey","864","20290-000-000","$15,000","2","1","0","1930","None","Single Family Residence","","$274.00","29","29","10","Cash","03/16/2021","$19.10","$17.36","0.91","Community Realty, LLC","Craig Jacobs","259505138","261010944","Lake and Sumter","Lake and Sumter"
"1","GC447883","SLD","14214 NW 154th PL","Alachua","32615","Not In Subdivision","1,144","03559-000-000","$23,500","3","1","0","1969","None","Single Family Residence","","$1,158.00","17","17","2","Cash","09/21/2021","$21.85","$20.54","0.94","VanBeek Realty, LLC","Octavia Washington","259505611","259505669","Gainesville-Alachua","Ocala - Marion"
"1","GC442237","SLD","6751 NE 27 AVE","Gainesville","32641","Copeland","1,216","17740-001-000","$32,000","3","2","0","1960","Private","Single Family Residence","","$838.00","63","63","15","Cash","05/06/2021","$32.81","$26.32","0.80","Smart Choice Realty Corp","Lori Camfferman","283548449","259500054","Gainesville-Alachua","Gainesville-Alachua"
"1","GC446724","SLD","15288 NW 133 TER","Alachua","32615","College Heights","852","03265-000-000","$32,000","2","1","0","1942","None","Single Family Residence","","$431.00","34","34","18","Cash","08/31/2021","$35.21","$37.56","1.07","Suskin Realty Inc","Samuel Suskin","259504892","259500054","Gainesville-Alachua","Gainesville-Alachua"
"1","GC441166","SLD","2503 NE 70th TER","Gainesville","32609","Not In Subdivision","1,480","17744-006-000","$45,000","3","1","0","1960","None","Single Family Residence","","$868.00","97","97","61","Cash","05/11/2021","$38.51","$30.41","0.79","Bosshardt Realty Services LLC","Davonda Brown","259500401","259500004","Gainesville-Alachua","Ocala - Marion"
"1","GC428325","SLD","816 NW 6th AVE","Gainesville","32601","Brown Addn","860","13786-000-000","$45,000","2","1","0","1985","None","Single Family Residence","","$600.00","720","720","6","Cash","08/24/2021","$58.14","$52.33","0.90","Bosshardt Realty Services LLC","Davonda Brown","259500401","259500004","Gainesville-Alachua","Ocala - Marion"
"1","GC441772","SLD","22618 SE 62nd AVE","Hawthorne","32640","Lake Breeze Ests","1,316","19558-027-000","$45,500","3","2","0","1973","None","Single Family Residence","","$1,867.00","29","29","6","Cash","03/19/2021","$30.32","$34.57","1.14","Trevor Waters Realty,Inc","Trevor Waters","270519969","270519968","Gainesville-Alachua","Gainesville-Alachua"
"1","GC443752","SLD","1821 SE 6th AVE","Gainesville","32641","New Gainesville","528","11336-002-000","$48,000","2","1","0","1950","None","Single Family Residence","","$593.00","34","34","23","Cash","05/26/2021","$142.05","$90.91","0.64","Bosshardt Realty Services LLC","Jaleesa N Green","259506754","259500004","Gainesville-Alachua","Ocala - Marion"
"1","GC447842","SLD","219 SE 48 ST","Gainesville","32641","Out of Area","1,360","10871016000","$50,000","3","1","0","1952","None","Single Family Residence","","$867.00","43","43","43","Cash","11/12/2021","$44.04","$36.76","0.83","COLDWELL BANKER MM PARRISH","Donavaun Horne","259505227","259500037","Gainesville-Alachua","Gainesville-Alachua"
"1","GC439673","SLD","1315 NE 3rd AVE","Gainesville","32641","Not In Subdivision","832","11501-000-000","$55,000","3","1","0","1957","None","Single Family Residence","","$429.00","184","184","223","Cash","07/15/2021","$84.01","$66.11","0.79","Parker Real Estate Service LLC","Joseph Parker","259500807","271501036","Gainesville-Alachua","Gainesville-Alachua"
"1","OM604904","SLD","1826 SE 47TH TER","GAINESVILLE","32641","MCNEIL GARDENS","1,200","16190-010-000","$55,000","2","1","0","1957","None","Single Family Residence","Fee Simple","$1,479.00","196","196","229","Cash","02/25/2021","$74.92","$45.83","0.61","OCALA REALTY WORLD LLC","Elisha Lopez","271514012","271501056","Ocala - Marion","Ocala - Marion"
"1","GC442142","SLD","2115 NE 4th AVE","Gainesville","32641","Avondale Estates","682","11128-003-001","$56,000","2","1","0","1993","None","Single Family Residence","","$1,063.00","46","46","13","Cash","04/16/2021","$87.98","$82.11","0.93","Bosshardt Realty Services LLC","Harry Valencia","259505878","259500043","Gainesville-Alachua","Ocala - Marion"
"1","GC440997","SLD","1017 NW 40 AVE","Gainesville","32609","Oak Hill(410)","640","08080-000-000","$58,000","1","1","0","1949","None","Single Family Residence","","$423.00","41","41","18","Cash","03/19/2021","$85.94","$90.63","1.05","Carl Turlington Real Estate","Alicia Phillips","259500736","259504964","Gainesville-Alachua","Gainesville-Alachua"
"1","GC439153","SLD","124 NE 22 ST","Gainesville","32641","Harper","925","11230-000-000","$60,000","2","1","0","1954","None","Single Family Residence","","$1,492.00","93","93","70","Cash","01/29/2021","$81.08","$64.86","0.80","Watson Realty Corp - NW 23rd Ave.","Richard Barton","259505895","259504964","Gainesville-Alachua","Ocala - Marion"
"1","GC444666","SLD","1415 SE 1ST AVE","Gainesville","32601","Lakeway Groves","849","11745-000-000","$65,000","2","1","0","1946","None","Single Family Residence","","$946.00","128","128","6","Cash","09/24/2021","$76.56","$76.56","1.00","Your Home Realty","Joni Dowst","259503993","259500043","Gainesville-Alachua","Gainesville-Alachua"
"1","GC446610","SLD","13406 NW 157TH AVE","Alachua","32615","College Heights","888","03234-023-000","$65,000","2","1","0","1953","None","Single Family Residence","","$359.00","105","105","113","Cash","12/06/2021","$84.03","$73.2","0.87","HORIZON REALTY OF ALACHUA INC","Barry MacCallum","259506445","259506003","Gainesville-Alachua","Gainesville-Alachua"
"1","GC439966","SLD","7208 SE 222nd ST","Hawthorne","32640","Waits Crossing","864","19480-000-000","$66,000","2","1","0","1920","None","Single Family Residence","","$1,076.00","94","94","83","Cash","03/05/2021","$83.33","$76.39","0.92","Watson Realty Corp - NW 23rd Ave.","Heather Surrency-Bristow","271511592","259504964","Gainesville-Alachua","Ocala - Marion"
"1","GC441257","SLD","18144 NW 251 TER","High Springs","32643","Avondale","1,300","01442-001-045","$68,000","3","1","0","1970","None","Single Family Residence","","$1,534.00","7","7","1","Cash","02/09/2021","$58.46","$52.31","0.89","BHGRE Thomas Group","Kelly Potter","259505447","259500004","Gainesville-Alachua","Ocala - Marion"
"1","GC442893","SLD","1334 NE 1ST AVE","Gainesville","32641","New Gainesville","1,328","11509-000-000","$69,900","2","1","0","1948","None","Single Family Residence","","$1,468.00","29","29","8","Cash","04/23/2021","$52.64","$52.64","1.00","Coldwell Banker M.M. Parrish Realtors","Michael Leroy","259503037","259500037","Gainesville-Alachua","Pinellas Suncoast"
"1","GC501179","SLD","250 SE 73RD TER","GAINESVILLE","32641","LAKESHORE HOMESITES","884","17940-112-000","$70,000","3","1","0","1960","None","Single Family Residence","Fee Simple","$1,426.95","3","3","4","Cash","12/20/2021","$79.19","$79.19","1.00","GORE-RABELL REAL ESTATE INC","Martha McCullough","259503852","25950341","Gainesville-Alachua","Gainesville-Alachua"
"1","GC448277","SLD","1918 NE 17 WAY","Gainesville","32641","Seola","960","10740-000-000","$70,000","2","1","0","1977","None","Single Family Residence","","$1,051.00","8","8","8","Cash","10/19/2021","$72.92","$72.92","1.00","Suskin Realty Inc","Marc Suskin","259500193","","Gainesville-Alachua","Gainesville-Alachua"
"1","GC443388","SLD","14195 SW 168th St ST","Archer","32618","Walnut Hill Ests","520","04965-001-008","$70,000","2","1","0","1960","None","Single Family Residence","","$900.00","32","32","17","Seller Financing","05/13/2021","$134.62","$134.62","1.00","Costello Realty","Laurie Costello","259503341","259504881","Gainesville-Alachua","Gainesville-Alachua"
"1","GC446852","SLD","1101 SE 18th TER","Gainesville","32641","Lincoln Estates","910","16116-057-000","$70,000","2","1","1","1969","None","Single Family Residence","","$996.00","94","94","94","Cash","12/15/2021","$93.41","$76.92","0.82","Thurmond Realty LLC","Michael Cox","259503981","259504935","Gainesville-Alachua","Gainesville-Alachua"
"1","GC440300","SLD","410 NW 26 AVE","Gainesville","32609","Belvedere Heights","1,032","08481-009-000","$71,400","2","1","0","1978","None","Single Family Residence","","$486.00","31","31","5","Cash","01/18/2021","$74.13","$69.19","0.93","Smart Choice Realty Corp","Lori Camfferman","283548449","259506526","Gainesville-Alachua","Gainesville-Alachua"
"1","GC442332","SLD","1214 NE 15th ST","Gainesville","32601","Highland Court","884","10573-125-000","$71,547","3","1","0","1940","None","Single Family Residence","","$1,551.00","50","50","9","Cash","04/29/2021","$73.42","$80.94","1.10","BHHS Florida Realty","Mae Alden","259500512","259500004","Gainesville-Alachua","Ocala - Marion"
"1","GC440507","SLD","18223 SE 145TH TER","Hawthorne","32640","Sportsman Haven","2,064","18354-039-026","$72,000","3","2","0","1960","Private","Single Family Residence","","$2,731.00","113","113","40","Cash","04/23/2021","$41.18","$34.88","0.85","Campus To Coast Realty, Inc","Jennifer Lee","259503897","259506544","Gainesville-Alachua","Gainesville-Alachua"
"1","GC445983","SLD","23562 NW 183rd RD","High Springs","32643","S C Moore Addn","950","01234-000-000","$74,000","2","1","0","1900","None","Single Family Residence","","$1,512.00","76","76","68","Cash","09/21/2021","$94.43","$77.89","0.82","Keller Williams Gainesville Realty Partners","Craig Wilburn-Team Dynamo","259503108","259505361","Ocala - Marion","Ocala - Marion"
"1","GC441900","SLD","2109 SE 45th TER","Gainesville","32641","Shady Lawn Estates","672","16189002048","$74,500","2","1","0","1963","None","Single Family Residence","","$82.00","49","49","21","Cash","04/14/2021","$116.07","$110.86","0.96","Horizon Realty Of Alachua Inc","Jennifer MacCallum","259506107","259500025","Gainesville-Alachua","Gainesville-Alachua"
"1","GC443982","SLD","13117 N COUNTY ROAD 225","Gainesville","32609","Monteocha Forest","864","07764-010-003","$74,900","2","1","0","1993","None","Single Family Residence","","$1,498.00","51","51","79","Cash","07/29/2021","$86.69","$86.69","1.00","Coldwell Banker M.M. Parrish Realtors","Michael Leroy","259503037","259500037","Gainesville-Alachua","Pinellas Suncoast"
"1","GC439729","SLD","325 NE 18TH ST","Gainesville","32641","New Gainesville","690","11196-000-000","$75,000","2","1","0","1950","None","Single Family Residence","","$1,062.00","98","98","61","Conventional","02/25/2021","$115.80","$108.7","0.94","Suskin Realty Inc","Marc & Leslie Suskin","259500193","259500037","Gainesville-Alachua","Gainesville-Alachua"
"1","GC422993","SLD","221 SE 13th LN","Gainesville","32653","Norwood Heights","736","15911-000-000","$75,200","2","1","0","1930","None","Single Family Residence","","$951.00","1,014","1,014","1,014","Cash","12/13/2021","$101.90","$102.17","1.00","BOSSHARDT REALTY SERVICES LLC","Davonda Brown","259500401","259500792","Gainesville-Alachua","Gainesville-Alachua"
"1","GC447571","SLD","2524 NE 5TH PL","Gainesville","32641","Ward Replat","1,091","11120-014-002","$77,000","3","1","0","1950","None","Single Family Residence","","$2,737.00","31","31","24","Cash","10/01/2021","$82.40","$70.58","0.86","Secure Investments Realty & Management","Tanya Chappell","259500459","25950341","Ocala - Marion","Ocala - Marion"
"1","GC439212","SLD","653 NE 16th TER","Gainesville","62641","Rosemary Park","747","10978-000-000","$78,000","2","1","0","1946","None","Single Family Residence","","$1,046.00","101","101","38","FHA","02/08/2021","$100.40","$104.42","1.04","BHHS Florida Realty","Ryan Saylor","259503198","259500004","Gainesville-Alachua","Ocala - Marion"
"1","GC440998","SLD","3918 SE 15TH ST","Gainesville","32641","Robinson Heights","1,652","16259-022-000","$79,700","3","2","0","1962","None","Single Family Residence","","$1,935.00","52","52","50","Other","03/30/2021","$57.51","$48.24","0.84","Florida Homes Realty & Mortgage","Roderick (Rod) Fair","259504316","70002595","Gainesville-Alachua","Gainesville-Alachua"
"1","GC438849","SLD","305 SE 21St ST","Gainesville","32641","Ward Replat","768","11280-004-000","$80,000","3","1","0","1956","None","Single Family Residence","","$680.00","199","177","143","FHA","04/23/2021","$104.04","$104.17","1.00","Miller Real Estate","J.R. Neal","259505677","259500037","Gainesville-Alachua","Ocala - Marion"
"1","GC436118","SLD","1623 SE 3 AVE","Gainesville","32641","New Gainesville","1,356","11692-000-000","$80,000","5","2","0","1950","None","Single Family Residence","","$1,322.00","254","161","164","Cash","01/04/2021","$67.48","$59","0.87","Watson Realty Corp - NW 23rd Ave.","John E Shaer","259506265","70002595","Gainesville-Alachua","Ocala - Marion"
"1","GC446658","SLD","225 NW 4th PL","Gainesville","32601","Brush Addn","600","14229-002-000","$80,500","2","1","0","1930","None","Single Family Residence","","$810.00","50","50","24","Cash","09/13/2021","$148.33","$134.17","0.90","Sage Real Estate","Michelle Hazen","259504971","259506015","Gainesville-Alachua","Gainesville-Alachua"
"1","GC500982","SLD","3217 NW 6TH ST","GAINESVILLE","32609","PINE HAVEN","640","08257-000-000","$81,000","1","1","0","1940","None","Single Family Residence","Fee Simple","$1,654.00","9","9","9","Cash, Private","12/30/2021","$109.22","$126.56","1.16","RIZE REALTY GROUP LLC","Shawn Hicks","259503386","55055","Gainesville-Alachua","Gainesville-Alachua"
"1","GC448150","SLD","5020 SE HAWTHORNE RD","Gainesville","32641","Green Grove","1,635","16186-072-000","$82,570","3","2","0","1965","None","Single Family Residence","","$1,306.00","52","52","-1","Cash","07/16/2021","$50.50","$50.5","1.00","First Choice Realty of North Florida LLC","Dawn Johnson","259503557","259505372","Tampa","Tampa"
"1","GC445193","SLD","4724 NW 35th ST","Gainesville","32606","Pinebreeze","1,242","06065-020-004","$84,000","3","2","0","1983","None","Single Family Residence","","$1,869.00","1","1","1","Cash","06/03/2021","$67.63","$67.63","1.00","Out Of Area Firm (See Remarks)"," Reciprocal- Out Of Area Agent","259500000000000","259500046","","Gainesville-Alachua"
"1","GC441093","SLD","926 SE 18th TER","Gainesville","32641","Lincoln Estates","1,330","16116-081-000","$85,000","2","1","0","1968","None","Single Family Residence","","$1,784.00","21","21","6","Cash","02/16/2021","$71.35","$63.91","0.90","Miller Real Estate","Natalie Thomas","259503920","259504964","Ocala - Marion","Ocala - Marion"
"1","O5945124","SLD","1632 E UNIVERSITY AVE","GAINESVILLE","32641","NEW GAINESVILLE REP","768","11537-001-000","$85,000","2","1","0","1954","None","Single Family Residence","Fee Simple","$1,118.00","6","6","6","Cash","06/23/2021","$117.19","$110.68","0.94","OPTIMA ONE REALTY WINTER GARDEN INC.","Chanelle Giglio","261217829","260520233","Orlando Regional","Orlando Regional"
"1","GC447118","SLD","2529 SE 11th AVE","Gainesville","32641","Unknown Subdivision","572","16090-001-000","$87,000","2","1","0","1956","None","Single Family Residence","","$1,001.00","21","21","6","Cash","09/01/2021","$157.17","$152.1","0.97","Keller Williams Gainesville Realty Partners","The Pro Team","259505311","259505695","Gainesville-Alachua","Ocala - Marion"
"1","GC441895","SLD","12121 NE State Road 26","Gainesville","32641","Burnetts Lake Estates","1,138","17699-002-000","$87,500","3","1","0","1965","None","Single Family Residence","","$2,103.00","177","177","152","Cash","08/24/2021","$144.99","$76.89","0.53","Century 21 Lakeside Realty","Trey Fields","259505346","259504804","Gainesville-Alachua","Gainesville-Alachua"
"1","GC441725","SLD","13813 NW 147th AVE","Alachua","32615","Clarks Addn","768","03418-000-000","$88,000","2","1","0","1950","None","Single Family Residence","","$1,054.00","40","40","7","Cash","03/30/2021","$130.08","$114.58","0.88","Gator Homes Realty, LLC","Katie M Heysel","259505865","70002595","Gainesville-Alachua","Gainesville-Alachua"
"1","GC440908","SLD","2811 SW Archer RD Unit#183","Gainesville","32608","Brandywine -Condo","876","06770-183-000","$89,000","2","1","0","1985","Private, Community","Single Family Residence","","$1,071.00","39","39","21","Cash","02/26/2021","$105.59","$101.6","0.96","Charles Rutenberg Realty, Fort Lauderdale","Ryan Kuhlman","278528848","270534868","","Lakeland"
"1","GC447900","SLD","1621 NE 19TH PL","Gainesville","32609","Carol Ests","1,008","10804-061-000","$90,000","3","2","0","1964","None","Single Family Residence","","$2,081.00","17","17","1","Cash","09/30/2021","$89.29","$89.29","1.00","Suskin Realty Inc","Marc & Leslie Suskin","259500193","259500054","Gainesville-Alachua","Gainesville-Alachua"
"1","GC443433","SLD","2841 SE 18TH AVE","Gainesville","32641","Kincaid Road","1,014","16134-018-003","$90,000","3","1","0","1960","None","Single Family Residence","","$1,833.00","23","23","13","Cash","05/12/2021","$78.90","$88.76","1.13","Florida Homes Realty & Mortgage","Victor E Borrero","259506539","259500054","Gainesville-Alachua","Gainesville-Alachua"
"1","GC446485","SLD","1023 NE 24TH ST","Gainesville","32641","Cedar Grove","1,012","10856-003-000","$90,000","3","1","0","1958","None","Single Family Residence","","$1,643.00","35","35","13","Cash","08/24/2021","$113.64","$88.93","0.78","First Choice Realty of North Florida LLC","Travis P Cook","279598748","259504921","Gainesville-Alachua","Tampa"
"1","GC445091","SLD","529 NW 8th ST","Gainesville","32601","Brown Addn","1,133","13578-001-000","$90,000","3","2","0","1930","None","Single Family Residence","","$1,593.00","97","97","82","Cash","09/14/2021","$101.41","$79.44","0.78","Sage Real Estate","Megan Atwater","259505974","259506015","Gainesville-Alachua","Gainesville-Alachua"
"1","GC443133","SLD","503 NW 37TH AVE","Gainesville","32609","Pine Haven","1,620","08320-004-000","$90,000","4","2","0","1959","None","Single Family Residence","","$2,286.00","111","111","91","Cash","07/29/2021","$85.80","$55.56","0.65","Your Home Realty","Joni Dowst","259503993","259500061","Gainesville-Alachua","Gainesville-Alachua"
"1","O5950830","SLD","2008 SE 49TH DR","GAINESVILLE","32641","GREEN GROVE","1,472","16186-035-000","$90,000","3","2","0","1960","None","Single Family Residence","Fee Simple","$3,798.00","40","40","41","Cash","11/30/2021","$88.25","$61.14","0.69","ORANGE REALTY MASTERS","Bill Jefferson","261010401","51457","Orlando Regional","Orlando Regional"
"1","GC444292","SLD","2837 NE 16th TER","Gainesville","32609","Carol Ests North","1,260","08197-003-075","$91,000","3","1","0","1965","None","Single Family Residence","","$2,127.00","18","18","6","Cash","05/25/2021","$71.43","$72.22","1.01","BHHS Florida Realty","Mae Alden","259500512","259500054","Gainesville-Alachua","Ocala - Marion"
"1","GC446169","SLD","935 NE 3rd AVE","Gainesville","32601","Doig Robertson","1,291","11951-000-000","$91,000","3","1","0","1907","None","Single Family Residence","","$2,080.00","77","77","48","Cash","09/24/2021","$81.25","$70.49","0.87","Sage Real Estate","Megan Atwater","259505974","259506015","Gainesville-Alachua","Gainesville-Alachua"
"1","W7840633","SLD","801 SE 20TH ST","GAINESVILLE","32641","LINCOLN ESTATES 3RD ADD","1,127","16116-100-001","$91,500","3","1","1","1970","None","Single Family Residence","Fee Simple","$1,315.00","4","4","4","Conventional","12/21/2021","$84.07","$81.19","0.97","LISTWITHFREEDOM.COM","Ralph Harvey","276593262","259504874","West Pasco","West Pasco"
"1","GC445203","SLD","1039 SE 19TH TER","Gainesville","32641","Lincoln Estates","1,216","16107-015-000","$92,500","3","1","0","1963","None","Single Family Residence","","$1,751.00","76","76","21","Cash","08/19/2021","$86.27","$76.07","0.88","Exit Realty Producers","Debra Martin-Back","259503274","259500054","Ocala - Marion","Ocala - Marion"
