#,ML Number,Status,Address,City,Zip,Legal Subdivision Name,Heated Area,Tax ID,Current Price,Beds,Full Baths,Half Baths,Year Built,Pool,Property Style,Ownership,Tax,CDOM,ADOM,Days to Contract,Sold Terms,Close Date,LP / SqFt,SP/SqFt,SP / LP,List Office,List Agent,List Agent ID,Selling Office ID,LSC List Side,List Office Primary Board ID,cleaning
1,T3476144,PND,710 NE 11TH AVE,GAINESVILLE,32601,ELLIOT LENGLE,"1,996",10418-000-000,"$309,900 ",3,2,0,1946,,Single Family Residence,Fee Simple,"$2,677.00 ",28,28,28,,3/6/2023,$155.26 ,,,R L ENTERPRISES,Robert Littman,276511733,,Pinellas Suncoast,Pinellas Suncoast,TRUE
1,A4579969,SLD,1324 SE 2ND AVE,GAINESVILLE,32641,NEW GAINESVILLE REP,616,11589-001-000,"$29,900 ",2,1,0,1954,,Single Family Residence,Fee Simple,$964.06 ,0,0,0,Cash,8/28/2023,$97.24 ,$48.54 ,0.5,FLATFEE.COM,Cliff Glansen,278017259,259500004,Sarasota - Manatee,Sarasota - Manatee,TRUE
1,GC510580,SLD,1049 SE 23RD ST,GAINESVILLE,32641,WOODLAND PARK,"1,159",16054-051-000,"$34,990 ",2,1,0,1952,,Single Family Residence,Fee Simple,"$1,319.26 ",5,5,5,Cash,2/3/2023,$30.19 ,$30.19 ,1,WATSON REALTY CORP- TIOGA,Matthew Perry,259506400,259500792,Gainesville-Alachua,Gainesville-Alachua,TRUE
1,GC513627,SLD,6614 SE 209TH ST,HAWTHORNE,32640,METES & BOUNDS,830,19828-004-000,"$42,500 ",2,1,0,1960,,Single Family Residence,Fee Simple,"$1,365.32 ",155,155,156,Cash,11/27/2023,$56.87 ,$51.20 ,0.9,HORIZON REALTY OF ALACHUA INC,Patti Moser,259500210,271500043,Gainesville-Alachua,Gainesville-Alachua,TRUE
1,GC508617,SLD,15514 NW 142ND TER,ALACHUA,32615,GUINN WILLIAMS & REEVES SUR PB C-79A LOT 1,800,03548-000-000,"$42,500 ",2,1,0,1935,,Single Family Residence,Fee Simple,$741.00 ,172,172,172,Cash,4/5/2023,$73.75 ,$53.13 ,0.72,RABELL REALTY GROUP LLC,Mike Rust,259506066,259500792,Gainesville-Alachua,Gainesville-Alachua,TRUE
1,GC509772,SLD,1530 SE 35TH AVE,GAINESVILLE,32641,SPRING HILL,"1,240",16236-010-003,"$45,000 ",3,1,0,1974,,Single Family Residence,Fee Simple,"$1,817.00 ",10,10,13,Cash,1/2/2023,$52.42 ,$36.29 ,0.69,FLORIDA HOMES REALTY & MORTGAGE LLC,Xavrae Burse,259504882,259504964,Gainesville-Alachua,Gainesville-Alachua,TRUE
1,T3448368,SLD,819 NE 18TH TER,GAINESVILLE,32641,PINE RIDGE,"1,014",10733-056-000,"$48,000 ",3,1,0,1940,,Single Family Residence,Fee Simple,"$1,266.68 ",57,57,57,Cash,8/21/2023,$68.93 ,$47.34 ,0.69,"GREEN STAR REALTY, INC.",Holly DiMemmo,261564033,50554,Tampa,Tampa,TRUE
1,GC515325,SLD,702 SE 8TH ST,GAINESVILLE,32601,GAINESVILLE ROPERS ADD,817,12083-002-000,"$49,000 ",2,1,0,1930,,Single Family Residence,Fee Simple,"$1,325.11 ",5,5,5,Cash,8/29/2023,$59.98 ,$59.98 ,1,KELLER WILLIAMS GAINESVILLE REALTY PARTNERS,Jonathan Mills,259505225,259500004,Gainesville-Alachua,Gainesville-Alachua,TRUE
1,GC514891,SLD,222 SE 13TH ST,GAINESVILLE,32641,NEW GAINESVILLE REP,928,11641-000-000,"$59,850 ",2,1,0,1938,,Single Family Residence,Fee Simple,"$1,265.00 ",13,13,19,Cash,9/21/2023,$53.77 ,$64.49 ,1.2,"COLDWELL BANKER M.M. PARRISH, REALTORS",Mike LeRoy,259503037,259500037,Gainesville-Alachua,Gainesville-Alachua,TRUE
1,GC507737,SLD,315 NE 18TH ST,GAINESVILLE,32641,WARD RPT,457,11197-001-000,"$61,000 ",2,1,0,1945,,Single Family Residence,Fee Simple,$743.00 ,113,113,134,Cash,1/12/2023,$142.23 ,$133.48 ,0.94,WATSON REALTY CORP,Jesse Whitfield,259504186,259500792,Gainesville-Alachua,Gainesville-Alachua,TRUE
1,OM663977,SLD,7034 SE 222ND ST,HAWTHORNE,32640,,936,19509-000-000,"$66,900 ",3,1,0,1930,,Single Family Residence,Fee Simple,"$1,765.38 ",9,9,9,Cash,9/27/2023,$80.13 ,$71.47 ,0.89,KELLER WILLIAMS CORNERSTONE RE,Matthew English,271516057,271516508,Ocala - Marion,Ocala - Marion,TRUE
1,GC509453,SLD,15 NW 5TH ST,HIGH SPRINGS,32643,G M WHETSTONE ESTATE ADD TO H S,"1,204",00729-001-000,"$71,500 ",4,1,1,1942,,Single Family Residence,Fee Simple,$837.73 ,82,82,99,"Cash, Private",4/7/2023,$68.52 ,$59.39 ,0.87,"SPLASH REALTY, LLC",Richard Bertocci,279557659,259506016,Gainesville-Alachua,Gainesville-Alachua,TRUE
1,GC512074,SLD,13809 W SR 235,ALACHUA,32615,NOT IN SUBDIVISION,"1,748",03129-003-000,"$75,000 ",3,2,0,1958,,Single Family Residence,Fee Simple,"$3,116.00 ",22,22,23,Private,6/1/2023,$46.91 ,$42.91 ,0.91,PEPINE REALTY,Katie Garrett,259505117,261016370,Gainesville-Alachua,Gainesville-Alachua,TRUE
1,GC507732,SLD,2407 NE 4TH AVE,GAINESVILLE,32641,DAVIS REP,713,11163-018-000,"$75,000 ",2,1,0,1956,,Single Family Residence,Fee Simple,$875.00 ,219,219,252,Cash,5/9/2023,$119.21 ,$105.19 ,0.88,WATSON REALTY CORP,Jesse Whitfield,259504186,264000271,Gainesville-Alachua,Gainesville-Alachua,TRUE
1,GC512075,SLD,2308 NE 55TH BLVD,GAINESVILLE,32641,,792,17750-001-000,"$80,000 ",2,2,0,1963,,Single Family Residence,Fee Simple,"$1,195.89 ",4,4,4,Cash,4/6/2023,$107.32 ,$101.01 ,0.94,EXP REALTY LLC,Jamie Vascotto,258020231,261010944,Gainesville-Alachua,Sarasota - Manatee,TRUE
1,GC513463,SLD,2302 SE 12 ST SE,GAINESVILLE,32641,,"1,156",15999-000-000,"$82,000 ",3,2,0,1953,,Single Family Residence,Fee Simple,"$2,166.00 ",5,5,13,Cash,6/16/2023,$58.39 ,$70.93 ,1.21,SMART CHOICE REALTY CORP,Daniel McDonald,259500461,259500054,Gainesville-Alachua,Gainesville-Alachua,TRUE
1,GC509584,SLD,2140 NE 7TH PL,GAINESVILLE,32641,DANIEL DIXSON,408,10912-000-000,"$82,000 ",2,1,0,1940,,Single Family Residence,Fee Simple,$640.00 ,71,71,85,Cash,3/8/2023,$220.34 ,$200.98 ,0.91,PEPINE REALTY,Katie Dale,259505394,259504874,Gainesville-Alachua,Gainesville-Alachua,TRUE
1,GC508908,SLD,14226 NW 142ND AVE,ALACHUA,32615,TOMPSETT,"1,622",03762-000-000,"$82,500 ",3,3,0,1958,,Single Family Residence,Fee Simple,"$1,317.19 ",94,94,167,Cash,3/29/2023,$50.86 ,$50.86 ,1,ZORI REALTY,Vincent Hampton,259505031,259505670,Gainesville-Alachua,Gainesville-Alachua,TRUE
1,GC515788,SLD,2503 NE 70TH ST,GAINESVILLE,32609,,"1,620",17743-021-000,"$84,900 ",4,2,0,1961,,Single Family Residence,Fee Simple,"$2,105.46 ",27,27,34,Cash,10/20/2023,$58.58 ,$52.41 ,0.89,HORIZON REALTY OF ALACHUA INC,Patti Moser,259500210,259500054,Gainesville-Alachua,Gainesville-Alachua,TRUE
1,GC516316,SLD,13917 NW 146TH AVE,ALACHUA,32615,CLARKES 1ST ADD TO ALACHUA,"1,362",03387-000-000,"$85,000 ",3,1,0,1952,,Single Family Residence,Fee Simple,$798.00 ,1,1,5,Cash,12/1/2023,$64.61 ,$62.41 ,0.97,FLORIDA HOMES REALTY & MORTGAGE LLC,Xavrae Burse,259504882,261016803,Gainesville-Alachua,Gainesville-Alachua,TRUE
1,GC508992,SLD,2019 NE 3RD PL,GAINESVILLE,32641,AVONDALE ESTATES,760,11130-004-000,"$86,000 ",3,1,0,1972,,Single Family Residence,Fee Simple,"$1,079.97 ",125,125,146,Conventional,4/27/2023,$124.87 ,$113.16 ,0.91,RE/MAX PROFESSIONALS,Robert Ryczek,278000920,259500037,Gainesville-Alachua,Gainesville-Alachua,TRUE
1,O6135915,SLD,25131 NW 3RD AVE,NEWBERRY,32669,ORIGINAL NEWBERRY,840,02111-000-000,"$89,500 ",2,1,0,1983,,Single Family Residence,Fee Simple,$602.00 ,9,9,9,Cash,9/26/2023,$94.64 ,$106.55 ,1.13,REALHOME SERVICE & SOLUTIONS INC,Andrea Butcher-Thomas,288576450,259504964,Orlando Regional,Orlando Regional,TRUE
1,GC516200,SLD,105 NE 20TH ST,GAINESVILLE,32641,THOMAS JACK SUB,883,11219-000-000,"$90,000 ",2,1,0,1950,,Single Family Residence,Fee Simple,"$1,254.61 ",2,2,2,Cash,10/2/2023,$101.93 ,$101.93 ,1,BOSSHARDT REALTY SERVICES LLC,Harry Valencia,259505878,259500004,Gainesville-Alachua,Gainesville-Alachua,TRUE
1,GC513862,SLD,4914 SW 47TH ST,GAINESVILLE,32608,RICELANDS SUB,"1,010",06967-002-000,"$90,000 ",2,1,0,1959,,Single Family Residence,Fee Simple,"$2,054.00 ",13,13,21,Cash,7/10/2023,$138.61 ,$89.11 ,0.64,"CAMPUS TO COAST REALTY, INC",Justin Hardy,259506749,259500023,Gainesville-Alachua,Gainesville-Alachua,TRUE
1,T3448863,SLD,1912 NE 16TH WAY,GAINESVILLE,32609,CAROL ESTATES SO,"1,400",10804-095-000,"$90,000 ",2,1,0,1952,,Single Family Residence,Fee Simple,"$2,258.00 ",2,2,4,Cash,6/12/2023,$70.71 ,$64.29 ,0.91,INTL. REALTY PLUS-TAMPA BAY,Tamra Wondrow,261563357,261010944,Tampa,Tampa,TRUE
1,GC514838,SLD,1922 NW 34TH AVE,GAINESVILLE,32605,RIDGE-VIEW,768,08879-013-000,"$95,000 ",2,1,0,1959,,Single Family Residence,Fee Simple,$344.46 ,0,0,0,Cash,7/28/2023,$179.69 ,$123.70 ,0.69,BHHS FLORIDA REALTY,Terri Ardines,279516784,259506003,Gainesville-Alachua,Gainesville-Alachua,TRUE
1,GC514703,SLD,1518 NE 2ND ST,GAINESVILLE,32601,,"1,398",10064-002-000,"$98,000 ",3,1,0,1953,,Single Family Residence,Fee Simple,$452.00 ,26,26,34,Cash,8/31/2023,$96.57 ,$70.10 ,0.73,"KELLER WILLIAMS, LLC",Ben Zuber,264000563,259500054,Gainesville-Alachua,Sarasota - Manatee,FALSE
1,GC514158,SLD,7020 SE 221ST ST,HAWTHORNE,32640,,982,19612-000-000,"$99,000 ",2,1,0,1930,,Single Family Residence,Fee Simple,"$1,397.00 ",118,118,125,Seller Financing,12/13/2023,$100.81 ,$100.81 ,1,HELEN HERSEY REALTY,Helen Hersey,81600165,119012220,Gainesville-Alachua,Gainesville-Alachua,TRUE
1,GC512024,SLD,532 NW 7TH TER,GAINESVILLE,32601,BROWNS ADDN-H P JACKSON,"1,152",13592-000-000,"$99,000 ",3,1,0,1968,,Single Family Residence,Fee Simple,$558.00 ,17,17,17,Cash,4/28/2023,$86.80 ,$85.94 ,0.99,SAGE REAL ESTATE,Megan Atwater,259505974,259504837,Gainesville-Alachua,Gainesville-Alachua,TRUE
1,GC510466,SLD,3004 NE 10TH ST,GAINESVILLE,32609,HIGHLAND COURT MANOR,"1,376",08202-044-000,"$100,069 ",4,2,0,1961,,Single Family Residence,Fee Simple,$848.00 ,5,5,15,Cash,2/14/2023,$69.04 ,$72.72 ,1.05,"COLDWELL BANKER M.M. PARRISH, REALTORS",Mike LeRoy,259503037,259500054,Gainesville-Alachua,Gainesville-Alachua,TRUE
1,GC509150,SLD,1103 NE 1ST ST,GAINESVILLE,32601,HILLS ADD TO GAINESVILLE,660,09894-000-000,"$105,000 ",2,1,0,1920,,Single Family Residence,Fee Simple,$786.39 ,52,52,53,Cash,2/28/2023,$204.55 ,$159.09 ,0.78,EXIT REALTY PRODUCERS,Judith Levi,85812855,259504115,Gainesville-Alachua,Gainesville-Alachua,TRUE
1,GC508866,SLD,2007 SW 69TH DR,GAINESVILLE,32607,TOWER OAKS MANOR REP #2,923,06678-020-024,"$105,000 ",2,2,0,1984,,Single Family Residence,Fee Simple,"$1,129.57 ",82,82,82,Conventional,4/6/2023,$118.09 ,$113.76 ,0.96,WATSON REALTY CORP- TIOGA,Eric Ascher,259505945,259505695,Gainesville-Alachua,Gainesville-Alachua,TRUE
1,A4585665,SLD,1016 NE 24TH ST,GAINESVILLE,32641,FLORIDA GARDENS,"1,297",10856-005-000,"$107,000 ",3,2,0,1958,,Single Family Residence,Fee Simple,"$1,969.53 ",8,8,8,Cash,11/4/2023,$84.73 ,$82.50 ,0.97,FLATFEE.COM,Cliff Glansen,278017259,50554,Sarasota - Manatee,Sarasota - Manatee,TRUE
1,GC507911,SLD,4617 SW 67TH TER,GAINESVILLE,32608,GREENLEAF UNIT 2 REP 2,810,06877-220-003,"$109,900 ",2,1,0,1983,,Single Family Residence,Fee Simple,"$1,587.49 ",38,38,98,Conventional,1/23/2023,$135.68 ,$135.68 ,1,MATCHMAKER REALTY OF ALACHUA COUNTY,Gia Arvin,259503472,259500004,Gainesville-Alachua,Gainesville-Alachua,TRUE
1,GC516258,SLD,2509 SE 36TH ST,GAINESVILLE,32641,,908,16205-025-000,"$110,000 ",3,1,0,1960,,Single Family Residence,Fee Simple,"$1,725.89 ",7,7,7,Cash,10/27/2023,$121.04 ,$121.15 ,1,BHHS FLORIDA REALTY,Ryan Saylor,259503198,259506003,Gainesville-Alachua,Gainesville-Alachua,TRUE
1,GC513395,SLD,3410 SE 23RD AVE,GAINESVILLE,32641,GREENTREE VILLAGE,"1,131",16134-051-052,"$111,000 ",2,2,0,1980,,Single Family Residence,Fee Simple,"$1,622.33 ",3,3,3,Cash,7/28/2023,$110.52 ,$98.14 ,0.89,"COLDWELL BANKER M.M. PARRISH, REALTORS",Daurine Wehbe,259505727,259500054,Gainesville-Alachua,Gainesville-Alachua,TRUE
1,GC505959,SLD,325 NE 18TH ST,GAINESVILLE,32641,WARD RPT,690,11196-000-000,"$112,250 ",2,1,0,1950,,Single Family Residence,Fee Simple,"$1,069.00 ",246,246,256,Conventional,4/25/2023,$181.16 ,$162.68 ,0.9,"COLDWELL BANKER M.M. PARRISH, REALTORS",Daurine Wehbe,259505727,259505691,Gainesville-Alachua,Gainesville-Alachua,TRUE
1,U8188366,SLD,2145 E UNIVERSITY AVE,GAINESVILLE,32641,NOT IN SUBDIVISION,"1,931",11250-005-000,"$113,100 ",3,2,0,1950,,Single Family Residence,Fee Simple,"$1,873.24 ",2,2,2,Cash,3/6/2023,$67.32 ,$58.57 ,0.87,CLARKE REALTY LLC,Mustafa Lakadawala,259505289,261013545,Pinellas Suncoast,Pinellas Suncoast,TRUE
1,A4552506,SLD,3317 SE 22ND PL,GAINESVILLE,32641,GREENTREE VILLAGE,"1,131",16134-051-055,"$115,000 ",2,1,1,1980,,Single Family Residence,Fee Simple,"$1,244.91 ",2,2,2,FHA,1/6/2023,$97.04 ,$101.68 ,1.05,FLATFEE.COM,Cliff Glansen,278017259,259504964,Sarasota - Manatee,Sarasota - Manatee,TRUE
1,T3420451,SLD,215 SW 252ND ST,NEWBERRY,32669,ORIGINAL NEWBERRY,"1,008",02254-004-000,"$117,000 ",4,1,0,1955,,Single Family Residence,Fee Simple,$562.98 ,18,18,19,Cash,3/9/2023,$138.88 ,$116.07 ,0.84,DUNHILL 100 LLC,Melchire St. Ville,278043780,259506269,Tampa,Tampa,TRUE
1,GC513107,SLD,14032 SW 12TH PL,NEWBERRY,32669,,"1,212",04412-008-000,"$117,500 ",2,1,0,1965,,Single Family Residence,Fee Simple,"$1,517.40 ",4,4,4,Cash,10/13/2023,$73.43 ,$96.95 ,1.32,WATSON REALTY CORP- TIOGA,Tyler Laborde,259505915,259504964,Gainesville-Alachua,Gainesville-Alachua,TRUE
1,GC514286,SLD,18802 NE 9TH DR,GAINESVILLE,32609,,"1,280",07633-013-001,"$120,000 ",2,1,1,1989,,Single Family Residence,Fee Simple,"$1,015.00 ",6,6,7,Cash,7/7/2023,$101.56 ,$93.75 ,0.92,FLORIDA HOMES REALTY & MORTGAGE LLC,Deirdre Murphy,196532013,259504964,Gainesville-Alachua,Gainesville-Alachua,TRUE
1,GC511763,SLD,1816 SW 68TH TER,GAINESVILLE,32607,TOWER OAKS ARMS,916,06677-060-019,"$120,000 ",2,2,0,1983,,Single Family Residence,Co-op,"$1,439.59 ",3,3,3,FHA,5/9/2023,$131.00 ,$131 ,1,WORTH CLARK REALTY,Virdell Bowles III,259507330,260033462,Gainesville-Alachua,Pinellas Suncoast,TRUE
1,O6085903,SLD,2509 NE 11TH PL,GAINESVILLE,32641,CEDAR GROVE,"1,214",10823-069-000,"$120,000 ",3,2,1,1969,,Single Family Residence,Fee Simple,"$2,018.00 ",117,117,132,Cash,7/11/2023,$106.26 ,$98.85 ,0.93,BEYCOME OF FLORIDA LLC,Steven Koleno,364512302,260031891,Orlando Regional,Orlando Regional,TRUE
1,GC509935,SLD,3823 SW 28TH TER,GAINESVILLE,32608,SERENOLA MANOR UNIT 3 NAPIER,844,07296-031-023,"$120,000 ",2,1,0,1988,,Single Family Residence,Fee Simple,"$1,755.56 ",37,37,37,Conventional,3/24/2023,$171.80 ,$142.18 ,0.83,KELLER WILLIAMS GAINESVILLE REALTY PARTNERS,Lindsey Johnson,259505655,259500046,Gainesville-Alachua,Gainesville-Alachua,TRUE
1,GC510447,SLD,1701 NE 28 AVE,GAINESVILLE,32609,CAROL ESTATES NORTH,"1,269",08197-004-038,"$120,900 ",3,1,0,1965,,Single Family Residence,Fee Simple,$210.00 ,0,0,0,Cash,2/9/2023,$94.56 ,$95.27 ,1.01,SAXON REALTY INC,Bonnie Mott,259500202,261018281,Gainesville-Alachua,Gainesville-Alachua,TRUE
1,GC511030,SLD,726 NW 34TH AVE,GAINESVILLE,32609,DIXIE HEIGHTS,621,08510-000-000,"$121,500 ",2,1,0,1948,,Single Family Residence,Fee Simple,"$1,944.48 ",11,11,32,FHA,5/3/2023,$195.65 ,$195.65 ,1,BHHS FLORIDA REALTY,Ryan Saylor,259503198,25950341,Gainesville-Alachua,Gainesville-Alachua,TRUE
