#,ML Number,Status,Address,City,Zip,Legal Subdivision Name,Heated Area,Tax ID,Current Price,Beds,Full Baths,Half Baths,Year Built,Pool,Property Style,Ownership,Tax,CDOM,ADOM,Days to Contract,Sold Terms,Close Date,LP / SqFt,SP/SqFt,SP / LP,List Office,List Agent,List Agent ID,Selling Office ID,LSC List Side,List Office Primary Board ID,cleaning
1,GC504926,SLD,1231 NE 9TH ST,GAINESVILLE,32601,FAIRFIELD ADD,951,10600-006-000,"$15,000 ",3,1,0,1947,,Single Family Residence,Fee Simple,$777.72 ,168,168,-2,Cash,11/3/2022,$184.02 ,$15.77 ,0.09,FLORIDA HOMES REALTY & MORTGAGE LLC,Janine Alexander,782501717,259504964,Gainesville-Alachua,Gainesville-Alachua,TRUE
1,O6062949,SLD,13217 SW 143RD ST,ARCHER,32618,,752,04771-001-000,"$16,000 ",2,1,0,1956,,Single Family Residence,Fee Simple,$984.00 ,48,48,75,Cash,12/16/2022,$38.56 ,$21.28 ,0.55,BEYCOME OF FLORIDA LLC,Steven Koleno,364512302,259500060,Orlando Regional,Orlando Regional,TRUE
1,GC501675,SLD,819 NE 18 TER,GAINESVILLE,32641,PINE RIDGE,"1,074",10733-056-000,"$26,000 ",3,1,0,1940,,Single Family Residence,Fee Simple,"$1,094.00 ",4,4,13,Cash,2/11/2022,$32.59 ,$24.21 ,0.74,SUSKIN REALTY INC,Marc Suskin,259500193,261018281,Gainesville-Alachua,Gainesville-Alachua,TRUE
1,GC500002,SLD,423 SE 13TH TER,GAINESVILLE,32601,DOIGS ADD WAITS SUB,462,11800-000-000,"$40,000 ",2,1,0,1936,,Single Family Residence,Fee Simple,$640.00 ,25,25,36,Cash,1/3/2022,$104.98 ,$86.58 ,0.82,FLORIDA HOMES REALTY & MORTGAGE LLC,Xavrae Burse,259504882,259504874,Gainesville-Alachua,Gainesville-Alachua,TRUE
1,GC505421,SLD,1404 SE 3RD TER,GAINESVILLE,32601,GAINESVILLE NORWOOD HEIGHTS,732,15913-001-000,"$42,000 ",3,1,0,1932,,Single Family Residence,Fee Simple,$868.00 ,19,19,26,Private,7/15/2022,$68.31 ,$57.38 ,0.84,SUSKIN REALTY INC,Samuel Suskin,259504892,259500054,Gainesville-Alachua,Gainesville-Alachua,FALSE
1,O6062957,SLD,13309 SW 143RD ST,ARCHER,32618,,"1,304",04771-002-000,"$45,000 ",3,1,0,1965,,Single Family Residence,Fee Simple,"$1,582.00 ",70,70,75,Cash,12/17/2022,$42.18 ,$34.51 ,0.82,BEYCOME OF FLORIDA LLC,Steven Koleno,364512302,259500060,Orlando Regional,Orlando Regional,TRUE
1,OM630416,SLD,16377 SW COUNTY ROAD 346,ARCHER,32618,,696,04936-001-000,"$45,000 ",2,1,0,1960,,Single Family Residence,Fee Simple,$142.27 ,35,35,42,Cash,1/14/2022,$71.70 ,$64.66 ,0.9,WATSON REALTY CORP,Joann Torres,259506316,259500060,Ocala - Marion,Gainesville-Alachua,TRUE
1,GC503414,SLD,7005 SE 221ST ST,HAWTHORNE,32640,C J WAITS ADD,"2,207",19473-000-000,"$48,500 ",2,1,0,1900,,Single Family Residence,Fee Simple,$997.00 ,5,5,25,Cash,5/5/2022,$24.92 ,$21.98 ,0.88,WATSON REALTY CORP,Heather Surrency-Bristow,271511592,271516508,Gainesville-Alachua,Gainesville-Alachua,TRUE
1,GC447382,SLD,532 NW 29th AVE,Gainesville,32609,Gainesville Heights,895,08449-001-000,"$50,000 ",2,1,0,1950,,Single Family Residence,,$210.00 ,55,55,55,Cash,1/19/2022,$78.10 ,$55.87 ,0.72,PORTAL REALTY,Mary Brunel,259500842,259506814,Gainesville-Alachua,Gainesville-Alachua,TRUE
1,GC509774,SLD,9502 N COUNTY ROAD 225,GAINESVILLE,32609,,792,07805-006-000,"$50,505 ",2,1,0,1964,,Single Family Residence,Fee Simple,$321.77 ,2,2,2,Cash,12/23/2022,$50.51 ,$63.77 ,1.26,PEPINE REALTY,Mark Gajda,259505420,,Gainesville-Alachua,Gainesville-Alachua,TRUE
1,OM648184,SLD,21317 SE 66TH AVE,HAWTHORNE,32640,OBRIANS ADD TO HAWTHORNE,558,19732-000-000,"$53,000 ",2,1,0,1940,,Single Family Residence,Fee Simple,$892.00 ,19,19,21,Cash,12/6/2022,$107.53 ,$94.98 ,0.88,"COMPASS FLORIDA, LLC",Lucinda Striker,271516032,53164,Ocala - Marion,Orlando Regional,TRUE
1,GC506427,SLD,18818 NW 244TH ST,HIGH SPRINGS,32643,"HIGH SPRINGS,PATTONS ADDN","1,570",00996-000-000,"$54,000 ",3,1,0,1918,,Single Family Residence,Fee Simple,$649.84 ,4,4,6,Cash,7/25/2022,$38.22 ,$34.39 ,0.9,NORTHSTAR FIRST PROPERTIES LLC,Julie Davis,259506573,259505361,Gainesville-Alachua,Orlando Regional,TRUE
1,O6052406,SLD,4202 NE 119TH TER,GAINESVILLE,32641,,"1,316",17698-003-000,"$55,000 ",3,1,0,1961,,Single Family Residence,Fee Simple,"$1,197.93 ",102,102,115,Private,12/13/2022,$51.60 ,$41.79 ,0.81,"TRUST REALTY USA, LLC",Uri Segev,279560416,260000779,Orlando Regional,Orlando Regional,TRUE
